held_out_pair_id,contrast,feature,mean_difference_without_pair,full_mean_difference
dyad_009,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.09837435551330159,0.09586932533654903
dyad_010,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.09190422167110893,0.09586932533654903
dyad_011,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.09286776989769537,0.09586932533654903
dyad_001,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.1227911303838353,0.10978903741969091
dyad_002,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.12213525132897018,0.10978903741969091
dyad_003,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.11797429036800922,0.10978903741969091
dyad_004,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.1124906451814778,0.10978903741969091
dyad_005,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.09939803087870627,0.10978903741969091
dyad_006,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.10716468089818185,0.10978903741969091
dyad_007,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.11225985196524621,0.10978903741969091
dyad_008,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.0876344494087945,0.10978903741969091
dyad_009,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.11033741366446585,0.10978903741969091
dyad_010,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.11019780541505368,0.10978903741969091
dyad_011,S1_vs_S2,any_partner_gaze_ratio_session_mean,0.10529586212385933,0.10978903741969091
dyad_001,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.052527961880681304,0.04816454972852769
dyad_002,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.054651342599877195,0.04816454972852769
dyad_003,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.0512515813469571,0.04816454972852769
dyad_004,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.04447334750000358,0.04816454972852769
dyad_005,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.04891712120864702,0.04816454972852769
dyad_006,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.04349822971992917,0.04816454972852769
dyad_007,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.0512011669709566,0.04816454972852769
dyad_008,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.03725538062677165,0.04816454972852769
dyad_009,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.05158089246793489,0.04816454972852769
dyad_010,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.048534014828508235,0.04816454972852769
dyad_011,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,0.04591900786353783,0.04816454972852769
dyad_001,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004718580050426069,-0.004489955581571338
dyad_002,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004257942744218588,-0.004489955581571338
dyad_003,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.0044492401038792205,-0.004489955581571338
