window_size_s,test,contrast,feature,n_pairs,mean_difference,median_difference,cohen_dz,rank_biserial,p_value,permutation_p_value,q_value,friedman_statistic,direction
2.0,friedman_S1_to_S4,S1_S2_S3_S4,mutual_gaze_cos_min_session_mean,11,-0.0684952198580665,-0.016211002954302,,,0.1516933753093356,,0.5130805341345175,5.290909090909082,lower_in_competitive_or_later
2.0,friedman_S1_to_S4,S1_S2_S3_S4,p1_task_gaze_angle_std_session_mean,11,1.1564992936399587,0.3389704934261637,,,0.1665485026552457,,0.5384608677455357,5.072727272727263,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,vertical_offset_abs_std_session_mean,11,0.0016409368835735355,0.0021851363789797996,0.4489429369326877,0.48484848484848486,0.1748046875,0.1810639336261591,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,vertical_offset_abs_min_session_mean,11,-0.005831185337714547,-0.006498916703228684,-0.5425414978147927,-0.48484848484848486,0.1748046875,0.10980966325036604,0.5384608677455357,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,pair_motion_energy_min_session_mean,11,0.009521249256589955,0.011314305770596958,0.46569196757215636,0.48484848484848486,0.1748046875,0.17325524646168863,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,pair_motion_energy_min_session_mean,11,0.008059793911363432,0.006659846592662694,0.3681269774606374,0.48484848484848486,0.1748046875,0.26305514885309905,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_motion_speed_min_session_mean,11,-0.0006886339612102592,0.002316268591553837,-0.055456114338735304,0.48484848484848486,0.1748046875,0.9853587115666179,0.5384608677455357,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_motion_speed_max_session_mean,11,0.1858381706660837,0.22502867270291133,0.45453256138195225,0.48484848484848486,0.1748046875,0.1810639336261591,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,activity_asymmetry_abs_max_session_mean,11,-0.014947348313126102,-0.016102380332277844,-0.3239594976606705,-0.48484848484848486,0.1748046875,0.3235724743777452,0.5384608677455357,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,p1_closest_hand_to_other_head_min_session_mean,11,-0.04233403364593888,-0.05498066958304271,-0.48450994185843926,-0.48484848484848486,0.1748046875,0.15666178623718888,0.5384608677455357,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,p2_closest_hand_to_other_head_std_session_mean,11,0.004261410006000878,0.007102102174849911,0.27831116843348125,0.48484848484848486,0.1748046875,0.40946803318692043,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p1_partner_gaze_angle_min_session_mean,11,-0.8506115327446843,-0.6645411790009632,-0.27280182676726716,-0.48484848484848486,0.1748046875,0.41044411908247924,0.5384608677455357,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,p2_gaze_yaw_mean_session_mean,11,0.054279443216253845,0.07957144441471664,0.4276069596227559,0.48484848484848486,0.1748046875,0.2025378233284529,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_gaze_pitch_std_session_mean,11,0.004980692820550615,0.006664335254142423,0.47120676826981606,0.48484848484848486,0.1748046875,0.16739873108833578,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,frame_pose_valid_count_session_mean,11,5.93239822618894,1.5522738961134408,0.5798056551199445,0.48484848484848486,0.1748046875,0.10004880429477794,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,frame_interaction_valid_count_session_mean,11,5.93239822618894,1.5522738961134408,0.5798056551199445,0.48484848484848486,0.1748046875,0.10004880429477794,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p1_active_transition_count_session_mean,11,0.4485256439630298,0.38013442867811786,0.5466032638222598,0.48484848484848486,0.1748046875,0.11469009272816008,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,both_active_ratio_session_mean,11,0.01728847708940391,0.007622984520674281,0.5235051636286788,0.48484848484848486,0.1748046875,0.1371400683260127,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,neither_active_transition_count_session_mean,11,0.38933581748901014,0.5660852713178297,0.42566533118816696,0.48484848484848486,0.1748046875,0.21425085407515862,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,p1_partner_gaze_transition_count_session_mean,11,0.3937293190611232,0.23062015503875966,0.5719336796228621,0.48484848484848486,0.1748046875,0.10395314787701318,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p2_partner_gaze_count_session_mean,11,2.3315916034116877,1.3969072164948457,0.484962166007734,0.48484848484848486,0.1748046875,0.1576378721327477,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,any_partner_gaze_transition_count_session_mean,11,0.4362807508457409,0.43857634902411036,0.5229284385978662,0.48484848484848486,0.1748046875,0.13225963884821865,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p2_task_gaze_transition_count_session_mean,11,0.35701812322087473,0.27801486454087754,0.5085199226411729,0.48484848484848486,0.1748046875,0.14202049780380674,0.5384608677455357,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p1_gaze_category_away_unknown_ratio_session_mean,11,-0.044528395426373095,-0.027564360327518245,-0.5050725146983557,-0.48484848484848486,0.1748046875,0.1478770131771596,0.5384608677455357,,lower_in_competitive_or_later
