pair_id,session_id,order,condition_label,window_size_s,from_token,to_token,count
dyad_007,20260510_112436_order1,1,baseline,1.0,BT00,BT01,4
dyad_007,20260510_112436_order1,1,baseline,1.0,BT01,BT00,4
dyad_007,20260510_112937_order2,2,competitive,1.0,BT00,BT00,174
dyad_007,20260510_112937_order2,2,competitive,1.0,BT00,BT01,14
dyad_007,20260510_112937_order2,2,competitive,1.0,BT01,BT00,13
dyad_007,20260510_112937_order2,2,competitive,1.0,BT01,BT01,4
dyad_007,20260510_113403_order3,3,competitive,1.0,BT00,BT00,97
dyad_007,20260510_113403_order3,3,competitive,1.0,BT00,BT01,12
dyad_007,20260510_113403_order3,3,competitive,1.0,BT01,BT00,12
dyad_007,20260510_113403_order3,3,competitive,1.0,BT01,BT01,12
dyad_007,20260510_113658_order4,4,competitive,1.0,BT00,BT00,578
dyad_007,20260510_113658_order4,4,competitive,1.0,BT00,BT01,41
dyad_007,20260510_113658_order4,4,competitive,1.0,BT01,BT00,41
dyad_007,20260510_113658_order4,4,competitive,1.0,BT01,BT01,37
dyad_008,20260510_121708_order1,1,baseline,1.0,BT00,BT00,14
dyad_008,20260510_121708_order1,1,baseline,1.0,BT00,BT01,6
dyad_008,20260510_121708_order1,1,baseline,1.0,BT01,BT00,5
dyad_008,20260510_121708_order1,1,baseline,1.0,BT01,BT01,47
dyad_008,20260510_122126_order2,2,competitive,1.0,BT00,BT00,107
dyad_008,20260510_122126_order2,2,competitive,1.0,BT00,BT01,22
dyad_008,20260510_122126_order2,2,competitive,1.0,BT01,BT00,23
dyad_008,20260510_122126_order2,2,competitive,1.0,BT01,BT01,43
dyad_008,20260510_122534_order3,3,competitive,1.0,BT00,BT00,62
dyad_008,20260510_122534_order3,3,competitive,1.0,BT00,BT01,21
dyad_008,20260510_122534_order3,3,competitive,1.0,BT01,BT00,20
dyad_008,20260510_122534_order3,3,competitive,1.0,BT01,BT01,58
dyad_008,20260510_122925_order4,4,competitive,1.0,BT00,BT00,198
dyad_008,20260510_122925_order4,4,competitive,1.0,BT00,BT01,40
dyad_008,20260510_122925_order4,4,competitive,1.0,BT01,BT00,39
dyad_008,20260510_122925_order4,4,competitive,1.0,BT01,BT01,60
dyad_009,20260510_140907_order1,1,baseline,1.0,BT00,BT00,141
dyad_009,20260510_140907_order1,1,baseline,1.0,BT00,BT01,59
dyad_009,20260510_140907_order1,1,baseline,1.0,BT01,BT00,59
dyad_009,20260510_140907_order1,1,baseline,1.0,BT01,BT01,280
dyad_009,20260510_141947_order2,2,competitive,1.0,BT00,BT00,36
dyad_009,20260510_141947_order2,2,competitive,1.0,BT00,BT01,22
dyad_009,20260510_141947_order2,2,competitive,1.0,BT01,BT00,22
dyad_009,20260510_141947_order2,2,competitive,1.0,BT01,BT01,29
dyad_009,20260510_142206_order3,3,competitive,1.0,BT00,BT00,11
dyad_009,20260510_142206_order3,3,competitive,1.0,BT00,BT01,10
dyad_009,20260510_142206_order3,3,competitive,1.0,BT01,BT00,10
