window_size_s,feature_set,target,model,status,n_samples,n_classes,accuracy,macro_f1,weighted_f1,roc_auc,reason
5.0,pose,condition,linear_svm,ok,1455.0,2.0,0.5202749140893471,0.4979226567845377,0.5418262761812805,0.5408870456297877,
5.0,pose,session_number,dummy_most_frequent,ok,1455.0,4.0,0.12371134020618557,0.07526111028904015,0.08762676842718672,0.398620143790321,
5.0,pose,session_number,logistic_regression,ok,1455.0,4.0,0.3154639175257732,0.302121616073888,0.31351834040072724,0.5655349187028711,
5.0,pose,session_number,random_forest,ok,1455.0,4.0,0.35532646048109967,0.3296776029644543,0.34924880645862766,0.5683333720355823,
5.0,pose,session_number,linear_svm,ok,1455.0,4.0,0.3147766323024055,0.2950018261013802,0.3072124526345806,,
5.0,combined,pair_identity,not_applicable_lopo,not_applicable,,,,,,,"Leave-One-Pair-Out holds out the entire target class, so pair identity classification is undefined under the requested leakage-safe split."
5.0,combined,pair_identity_session_group_control,dummy_most_frequent,ok,1455.0,11.0,0.0,0.0,0.0,0.4464508094645081,
5.0,combined,pair_identity_session_group_control,random_forest,ok,1455.0,11.0,0.768384879725086,0.7275979076088387,0.7595054163927415,0.9611901162478216,
5.0,combined,condition_shuffled_label_sanity,logistic_regression,ok,1455.0,2.0,0.5415807560137457,0.4930935871821992,0.5580663934164715,0.4984920863046762,
5.0,combined,condition_shuffled_label_sanity,random_forest,ok,1455.0,2.0,0.7065292096219932,0.4140153040676601,0.5855969043101337,0.5114793066790767,
