feature,importance_mean,importance_std,window_size_s,model
p2_task_gaze_transition_count,0.0011173910265044422,0.0009291084056191699,5.0,random_forest
p1_closest_hand_to_other_head_min,0.0010896593553711513,0.0005938681096857028,5.0,random_forest
p1_motion_energy_min,0.0010450882140720652,0.0011077800894267783,5.0,random_forest
p1_motion_speed_min,0.0010352755839638055,0.001506510500141447,5.0,random_forest
any_partner_gaze_transition_count,0.0010259700241368186,0.0005891569245183158,5.0,random_forest
p2_motion_speed_mean,0.001001285800618192,0.0018669936323859155,5.0,random_forest
joint_attention_table_transition_count,0.0009998663439644562,0.0012432629536947145,5.0,random_forest
p2_partner_gaze_angle_mean,0.0009985990547139074,0.0008581238467751359,5.0,random_forest
p2_task_gaze_angle_min,0.0009264166901887158,0.0007787007420628739,5.0,random_forest
table_gaze_ratio_mean,0.0008989153722798182,0.0009754224605700341,5.0,random_forest
dyadic_motion_synchrony_zero_lag,0.0008629537850592117,0.0008108100270176615,5.0,random_forest
p1_partner_gaze_angle_std,0.0008173988817378094,0.0012606201205640406,5.0,random_forest
neither_active_transition_count,0.0008081066884306765,0.0006678569044182033,5.0,random_forest
gaze_yaw_difference_rad_mean,0.0007801982103208353,0.0010591644490142258,5.0,random_forest
vertical_offset_abs_max,0.0007545213701694123,0.0011317464118109045,5.0,random_forest
p1_task_gaze_angle_min,0.0007544291097653829,0.0022783622038387748,5.0,random_forest
lean_in_proxy_decreasing_distance,0.000753635018607988,0.0007070495822094812,5.0,random_forest
p1_closest_hand_to_other_head_mean,0.0007358765398771117,0.001247619647726246,5.0,random_forest
neither_active_count,0.000735771720984657,0.0007846592409030658,5.0,random_forest
p1_task_gaze_transition_count,0.0007262567746173695,0.00032479190343283635,5.0,random_forest
frame_pose_valid_transition_count,0.0007176444903057114,0.0008811206693094582,5.0,random_forest
activity_asymmetry_abs_min,0.0006994420120258471,0.000803426780790367,5.0,random_forest
mutual_gaze_cos_min,0.0006985465233506535,0.001334078728595091,5.0,random_forest
p2_active_transition_count,0.0006719864987130472,0.000562222860631539,5.0,random_forest
p1_gaze_pitch_std,0.0006718501465192891,0.0006318500736685206,5.0,random_forest
frame_interaction_valid_transition_count,0.0006357837938363031,0.0012653182746457448,5.0,random_forest
mutual_gaze_count,0.000608722485616886,0.0007199699759786737,5.0,random_forest
p1_closest_hand_to_other_head_std,0.0005997275828201384,0.0007186604792343927,5.0,random_forest
root_horizontal_distance_std,0.0005899933874447538,0.0003990340237542029,5.0,random_forest
gaze_yaw_difference_rad_std,0.0005088933869653497,0.0009048858314979021,5.0,random_forest
p1_partner_gaze_transition_count,0.0005083797422321586,0.0004296593021652954,5.0,random_forest
mutual_gaze_cos_std,0.00048040587107996596,0.0006569125737692863,5.0,random_forest
any_partner_gaze_count,0.0004548332725034798,0.0014104483598058571,5.0,random_forest
neither_active_ratio,0.0003899145803899773,0.0007636263417400091,5.0,random_forest
both_active_transition_count,0.00038189293124664864,0.0006554396052509669,5.0,random_forest
lean_in_proxy_root_distance_delta,0.00034610300597076593,0.0009496969752541064,5.0,random_forest
hand_to_hand_min_mean,0.00029979164304403766,0.0011932224166966005,5.0,random_forest
p2_partner_gaze_transition_count,0.00029050270984694776,0.0004108328721716896,5.0,random_forest
p2_partner_gaze_angle_max,0.0002180339179738422,0.0008462724919514877,5.0,random_forest
p2_gaze_pitch_std,0.00021791037356151213,0.0008301120400572049,5.0,random_forest
p2_gaze_yaw_max,0.00018219027716514144,0.0008546546077069899,5.0,random_forest
p1_closest_hand_to_other_head_max,0.00017295316995172283,0.001650274022831631,5.0,random_forest
p1_motion_energy_max,0.0001721744458725675,0.0006577833479155591,5.0,random_forest
p2_active_count,1.7316093331433875e-05,0.000636996255919175,5.0,random_forest
mutual_gaze_transition_count,0.0,0.0,5.0,random_forest
activity_asymmetry_abs_std,-3.639336668339229e-05,0.000735316647274127,5.0,random_forest
both_active_count,-0.00013648608996097433,0.0007375296616473138,5.0,random_forest
pair_motion_energy_mean,-0.00014473993891161996,0.0006960678975084062,5.0,random_forest
p2_closest_hand_to_other_head_std,-0.00014504678851873232,0.0003243344790459215,5.0,random_forest
p2_task_gaze_ratio,-0.00014686152243810016,0.0026269276034924594,5.0,random_forest
p2_partner_gaze_ratio,-0.0001826200834085523,0.0009169132092604458,5.0,random_forest
p2_partner_gaze_count,-0.00023788543101033177,0.0016340423083080903,5.0,random_forest
p1_motion_energy_std,-0.000272335719463751,0.0006954595136149321,5.0,random_forest
p2_motion_speed_max,-0.0004985875564885722,0.0006565129207150391,5.0,random_forest
p2_partner_gaze_angle_min,-0.0006645011515231299,0.0009064090047836628,5.0,random_forest
one_active_ratio,-0.0007975536574984418,0.0005567181226922224,5.0,random_forest
p2_closest_hand_to_other_head_min,-0.0009813282947202888,0.0013844499446898442,5.0,random_forest
one_active_count,-0.0011333596009717821,0.0007861154018121893,5.0,random_forest
partner_gaze_ratio_mean,-0.001428317256096212,0.001228756353332035,5.0,random_forest
both_active_ratio,-0.0017171861936183714,0.0010771201476628281,5.0,random_forest
p2_gaze_category_partner_ratio,-0.002355759868703483,0.0009156202181864017,5.0,random_forest
