actor_word,response_word,count,p_response_given_actor_word,count_order1,count_order2,count_order3,count_order4
IW04,IW05,1,0.015873015873015872,0,0,0,1
IW04,IW09,1,0.015873015873015872,0,0,0,1
IW00,IW03,1,0.013513513513513514,0,0,0,1
IW00,IW05,1,0.013513513513513514,0,1,0,0
IW00,IW09,1,0.013513513513513514,0,0,0,1
IW01,IW03,13,0.012149532710280374,3,2,1,7
IW07,IW09,1,0.009615384615384616,0,1,0,0
IW08,IW03,1,0.00819672131147541,0,1,0,0
IW11,IW00,1,0.006993006993006993,0,0,0,1
IW06,IW00,1,0.006756756756756757,0,0,0,1
IW06,IW09,1,0.006756756756756757,0,0,1,0
