pair_id,session_id,order,condition_label,window_index,PC1,PC2,PC3,PC4,PC5
dyad_001,20260504_183529_order2,2,competitive,6,6.3971928154905395,-11.771865227503863,-9.612635513666303,1.9532724857658748,-0.2711924487370316
dyad_001,20260504_183529_order2,2,competitive,7,6.063746162269035,-4.967871361031839,-1.103200259255604,0.4231215213348657,1.272242232427268
dyad_001,20260504_183529_order2,2,competitive,8,3.955142136699959,-6.128491299815423,2.2591506028256907,-1.9860125554373154,-0.7363652122540546
dyad_001,20260504_183529_order2,2,competitive,9,3.738537403984439,-4.367845620653929,0.8360324254708554,1.1688422732861352,-3.418251347303298
dyad_001,20260504_183529_order2,2,competitive,10,3.7331266484499306,-1.784074566503555,1.6473001525306326,-0.01037536341666485,-4.333017384803972
dyad_001,20260504_183529_order2,2,competitive,11,3.5352362729276767,-5.288182613643652,3.3284219324340554,0.9808344764311043,-2.706590756549634
dyad_001,20260504_183529_order2,2,competitive,12,5.135059261047653,-8.279877216571096,2.5834630730327204,1.5781056618228266,-1.1908372027528513
dyad_001,20260504_183529_order2,2,competitive,13,5.711662920548491,-2.353035036821698,2.609774446772876,-1.2069336107662116,0.08742483158058006
dyad_001,20260504_183529_order2,2,competitive,14,6.4307937800817525,-1.4539726418126337,-3.9134925842935395,-1.5023809542795914,-4.498706945034773
dyad_001,20260504_183529_order2,2,competitive,15,5.888122336099603,0.4928052555477166,-5.94739231631115,-6.482106487691379,-10.763803161504127
dyad_001,20260504_183529_order2,2,competitive,16,5.267914981600958,-0.45641607051962396,-5.568443728594549,-4.507447379152985,-7.157168800965544
dyad_001,20260504_183529_order2,2,competitive,17,3.006759259220728,2.051760821343182,-5.0927349583865675,-8.467342768018352,-4.432023666982599
dyad_001,20260504_183529_order2,2,competitive,18,5.337973633782746,-0.1351641035004012,-5.505332704755589,-4.2552115791926655,-9.153936985774505
dyad_001,20260504_183529_order2,2,competitive,19,6.864320671771887,-2.3485929648300155,-1.5463637183582841,-4.882200154907578,-5.382804791596703
dyad_001,20260504_183529_order2,2,competitive,20,8.67197977928062,-1.7344105424507317,-5.665086426479972,-4.1983231347742604,-6.169119095290087
dyad_001,20260504_183529_order2,2,competitive,21,7.640177044790218,-2.3764114129999463,-3.1299387202853253,-1.8740525331176492,-4.825719677752933
dyad_001,20260504_183529_order2,2,competitive,22,5.6922965747971475,-2.7916806572433472,-2.481910290338189,-1.5603677864313612,-7.798154298914538
dyad_001,20260504_183529_order2,2,competitive,23,8.235347728769954,-3.1893948524758833,-5.894864177419379,-1.4896233042101992,-7.4141523496726505
dyad_001,20260504_183529_order2,2,competitive,24,4.973310376852125,-5.3491864375729685,-3.0263304144979073,-2.0877406372256173,-5.749284422379533
dyad_001,20260504_183529_order2,2,competitive,25,3.2649632024490773,0.6317019135702489,-1.1057507044288188,-5.477910261158245,-6.578374142480789
dyad_001,20260504_183529_order2,2,competitive,26,6.085183529713229,-3.9912098039616577,-4.885286193687916,-0.7394846670843734,-8.250521311993218
dyad_001,20260504_183529_order2,2,competitive,27,3.7179445030003606,-6.7857654863653964,-0.29042908769827863,0.5455962156927688,-5.3064613596439605
dyad_001,20260504_183529_order2,2,competitive,28,3.7264807204535115,-8.147024576385526,-1.7783117782523743,0.4656092838478814,-0.49329400565796144
dyad_001,20260504_183529_order2,2,competitive,29,5.24363311013812,-8.209304781658323,-2.9298841602815537,0.5558148557226313,-4.450368748708431
dyad_001,20260504_183529_order2,2,competitive,30,8.823733819932954,-4.68600997257998,-4.298068967550679,-0.19123763600142182,-4.397956937121963
dyad_001,20260504_183529_order2,2,competitive,31,8.881054836681406,-11.614930541319458,-8.736492702041975,4.656672368851974,-5.839581905806533
