session_label,window_idx,cluster
20260504_184034_order3,480,5
20260504_184034_order3,510,5
20260504_184034_order3,540,5
20260504_184034_order3,570,5
20260504_184034_order3,600,5
20260504_184034_order3,870,5
20260504_184034_order3,900,5
20260504_184034_order3,1020,3
20260504_184034_order3,1050,5
20260504_184034_order3,1080,5
20260504_184034_order3,1110,2
20260504_184034_order3,1470,5
20260504_184034_order3,1500,5
20260504_184034_order3,1530,5
20260504_184034_order3,1560,5
20260504_184034_order3,1590,5
20260504_184034_order3,1620,5
20260504_184034_order3,1650,5
20260504_184034_order3,1680,5
20260504_184034_order3,1710,5
20260504_184034_order3,1740,2
20260504_184034_order3,1770,5
20260504_184034_order3,1860,5
20260504_184034_order3,1890,5
20260504_184034_order3,1920,5
20260504_184034_order3,1950,5
20260504_184034_order3,2220,5
20260504_184034_order3,2250,5
20260504_184034_order3,2280,5
20260504_184034_order3,2430,5
20260504_184034_order3,2460,3
20260504_184304_order4,210,5
20260504_184304_order4,240,3
20260504_184304_order4,270,3
20260504_184304_order4,450,5
20260504_184304_order4,480,5
20260504_184304_order4,600,5
20260504_184304_order4,630,5
20260504_184304_order4,660,5
20260504_184304_order4,780,5
20260504_184304_order4,810,5
20260504_184304_order4,1020,5
20260504_184304_order4,1050,5
20260504_184304_order4,1080,3
20260504_184304_order4,1110,5
20260504_184304_order4,1140,0
20260504_184304_order4,1230,5
20260504_184304_order4,1260,5
20260504_184304_order4,1290,5
20260504_184304_order4,1650,5
20260504_184304_order4,1680,2
20260504_184304_order4,1830,5
20260504_184304_order4,1860,5
20260504_184304_order4,1890,2
20260504_184304_order4,1920,5
20260504_184304_order4,1950,5
20260504_184304_order4,2010,5
20260504_184304_order4,2040,5
20260504_184304_order4,2100,5
20260504_184304_order4,2130,5
20260504_184304_order4,2460,5
20260504_184304_order4,2490,5
20260504_184304_order4,2550,5
20260504_184304_order4,2580,5
20260504_184304_order4,3270,2
20260504_184304_order4,3600,5
20260504_184304_order4,3630,5
20260504_184304_order4,3660,5
20260504_184304_order4,3990,5
20260504_184304_order4,4020,5
20260504_184304_order4,4050,3
20260504_184304_order4,4080,5
20260504_184304_order4,4200,5
20260504_184304_order4,4230,5
20260504_184304_order4,4320,5
20260504_184304_order4,4350,5
20260504_184304_order4,4380,5
20260504_184304_order4,4410,5
20260504_184304_order4,4440,5
20260504_184304_order4,4470,5
20260504_184304_order4,4500,5
20260504_184304_order4,4530,5
20260504_184304_order4,4710,5
20260504_184304_order4,4740,5
20260504_184304_order4,4770,5
20260504_184304_order4,4800,5
20260504_184304_order4,4830,5
20260504_184304_order4,4860,2
20260504_184304_order4,4890,5
20260504_184304_order4,4920,3
20260504_184304_order4,4950,3
20260505_190850_order1,0,0
20260505_190850_order1,30,5
20260505_190850_order1,60,3
20260505_190850_order1,90,3
20260505_190850_order1,120,4
20260505_190850_order1,150,4
20260505_190850_order1,180,4
20260505_190850_order1,210,4
20260505_190850_order1,270,0
20260505_190850_order1,300,5
20260505_190850_order1,330,4
20260505_190850_order1,360,4
20260505_190850_order1,390,5
20260505_190850_order1,420,0
20260505_190850_order1,450,5
20260505_190850_order1,480,3
20260505_190850_order1,540,3
20260505_190850_order1,570,3
20260505_190850_order1,600,1
