session_a,session_b,cosine_similarity
20260505_192656_order4,20260510_154339_order1,0.9802598615876519
20260505_192656_order4,20260510_154923_order2,0.9620259016317623
20260505_192656_order4,20260510_155222_order3,0.9594931224222577
20260505_192656_order4,20260510_155501_order4,0.9683463697099801
20260507_134304_order1,20260507_135022_order2,0.9976934204845982
20260507_134304_order1,20260507_135244_order3,0.7982226743668198
20260507_134304_order1,20260507_135359_order4,0.902264018354483
20260507_134304_order1,20260507_141202_order1,0.9941608140393988
20260507_134304_order1,20260507_142235_order2,0.9860367572372902
20260507_134304_order1,20260507_143033_order3,0.7694722206947935
20260507_134304_order1,20260507_143442_order4,0.5304551434385634
20260507_134304_order1,20260507_151153_order1,0.34045981833585254
20260507_134304_order1,20260507_151733_order2,0.2771606509590606
20260507_134304_order1,20260507_152058_order3,0.5474689531067736
20260507_134304_order1,20260507_152317_order4,0.4602113873104112
20260507_134304_order1,20260507_154437_order1,0.2771606509590606
20260507_134304_order1,20260507_154803_order2,0.2939719682668996
20260507_134304_order1,20260507_155406_order3,0.2771606509590606
20260507_134304_order1,20260507_155542_order4,0.2771606509590606
20260507_134304_order1,20260510_112436_order1,0.2771606509590606
20260507_134304_order1,20260510_112937_order2,0.30108716565730526
20260507_134304_order1,20260510_113403_order3,0.3153414222342347
20260507_134304_order1,20260510_113658_order4,0.320180431954935
20260507_134304_order1,20260510_121708_order1,0.9998936294013858
20260507_134304_order1,20260510_122126_order2,0.5752397294441001
20260507_134304_order1,20260510_122534_order3,0.5667767776550531
20260507_134304_order1,20260510_122925_order4,0.4390211448403397
20260507_134304_order1,20260510_140907_order1,0.9642189215975006
20260507_134304_order1,20260510_141947_order2,0.875387051329269
20260507_134304_order1,20260510_142206_order3,0.9998936294013858
20260507_134304_order1,20260510_142353_order4,0.9905772939594528
20260507_134304_order1,20260510_144735_order1,0.6775933945276713
20260507_134304_order1,20260510_145002_order2,0.7780550004353112
20260507_134304_order1,20260510_145207_order3,0.603602243279938
20260507_134304_order1,20260510_145409_order4,0.46608069904629634
20260507_134304_order1,20260510_154339_order1,0.7235366897651038
20260507_134304_order1,20260510_154923_order2,0.3272773343431608
20260507_134304_order1,20260510_155222_order3,0.3186345649460078
20260507_134304_order1,20260510_155501_order4,0.3500360756095157
20260507_135022_order2,20260507_135244_order3,0.837270503060236
20260507_135022_order2,20260507_135359_order4,0.9294520939570545
20260507_135022_order2,20260507_141202_order1,0.9991926546480545
20260507_135022_order2,20260507_142235_order2,0.9950664671601172
20260507_135022_order2,20260507_143033_order3,0.811051654401056
20260507_135022_order2,20260507_143442_order4,0.5867752474596525
20260507_135022_order2,20260507_151153_order1,0.4035002842252173
20260507_135022_order2,20260507_151733_order2,0.3417430626487482
20260507_135022_order2,20260507_152058_order3,0.603010791787261
20260507_135022_order2,20260507_152317_order4,0.5194152969738125
20260507_135022_order2,20260507_154437_order1,0.3417430626487482
20260507_135022_order2,20260507_154803_order2,0.35817554989018074
20260507_135022_order2,20260507_155406_order3,0.3417430626487482
20260507_135022_order2,20260507_155542_order4,0.3417430626487482
20260507_135022_order2,20260510_112436_order1,0.3417430626487482
20260507_135022_order2,20260510_112937_order2,0.36512381482490713
20260507_135022_order2,20260510_113403_order3,0.37903169535799014
20260507_135022_order2,20260510_113658_order4,0.3837494604782516
20260507_135022_order2,20260510_121708_order1,0.9965972410573974
20260507_135022_order2,20260510_122126_order2,0.629438557776907
20260507_135022_order2,20260510_122534_order3,0.6213947099947448
20260507_135022_order2,20260510_122925_order4,0.4989980428853019
20260507_135022_order2,20260510_140907_order1,0.9799906330088175
20260507_135022_order2,20260510_141947_order2,0.9061831383529296
20260507_135022_order2,20260510_142206_order3,0.9965972410573974
20260507_135022_order2,20260510_142353_order4,0.9975890854400568
20260507_135022_order2,20260510_144735_order1,0.7259526826576513
20260507_135022_order2,20260510_145002_order2,0.8189029642859291
20260507_135022_order2,20260510_145207_order3,0.6563305631997706
20260507_135022_order2,20260510_145409_order4,0.5250628687615562
20260507_135022_order2,20260510_154339_order1,0.7687251221492687
20260507_135022_order2,20260510_154923_order2,0.3906651610378139
20260507_135022_order2,20260510_155222_order3,0.3822425289506857
20260507_135022_order2,20260510_155501_order4,0.41281531862805776
20260507_135244_order3,20260507_135359_order4,0.9799366603373042
20260507_135244_order3,20260507_141202_order1,0.8585618156154832
20260507_135244_order3,20260507_142235_order2,0.8873870009514508
20260507_135244_order3,20260507_143033_order3,0.9989272125571456
