pair_id,session_id,order,condition_label,window_size_s,window_index,start_time_s,end_time_s,behavior_token,cluster_id
dyad_001,20260504_184304_order4,4,competitive,5.0,37,1777909569.99958,1777909574.9625525,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,38,1777909574.9995897,1777909579.9625623,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,39,1777909579.9995995,1777909584.962572,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,0,1777997330.2325995,1777997335.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,1,1777997335.2325995,1777997340.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,2,1777997340.2325995,1777997345.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,3,1777997345.2325995,1777997350.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,4,1777997350.2325995,1777997355.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,5,1777997355.2325995,1777997360.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,6,1777997360.2325995,1777997365.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,7,1777997365.2325995,1777997370.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,8,1777997370.2325995,1777997375.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,9,1777997375.2325995,1777997380.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,10,1777997380.2325995,1777997385.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,11,1777997385.2325995,1777997390.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,12,1777997390.2325995,1777997395.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,13,1777997395.2325995,1777997400.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,14,1777997400.2325995,1777997405.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,15,1777997405.2325995,1777997410.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,16,1777997410.2325995,1777997415.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,17,1777997415.2325995,1777997420.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,18,1777997420.2325995,1777997425.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,19,1777997425.2325995,1777997430.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,20,1777997430.2325995,1777997435.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,21,1777997435.2325995,1777997440.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,22,1777997440.2325995,1777997445.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,23,1777997445.2325995,1777997450.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,24,1777997450.2325995,1777997455.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,25,1777997455.2325995,1777997460.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,26,1777997460.2325995,1777997465.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,27,1777997465.2325995,1777997470.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,28,1777997470.2325995,1777997475.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,29,1777997475.2325995,1777997480.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,30,1777997480.2325995,1777997485.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,31,1777997485.2325995,1777997490.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,32,1777997490.2325995,1777997495.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,33,1777997495.2325995,1777997500.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,34,1777997500.2325995,1777997505.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,35,1777997505.2325995,1777997510.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,36,1777997510.2325995,1777997515.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,37,1777997515.2325995,1777997520.1925995,BT01,1
dyad_002,20260505_190850_order1,1,baseline,5.0,38,1777997520.2325995,1777997525.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,39,1777997525.2325995,1777997530.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,40,1777997530.2325995,1777997535.1925995,BT00,0
dyad_002,20260505_190850_order1,1,baseline,5.0,41,1777997535.2325995,1777997540.1925995,BT01,1
dyad_002,20260505_191548_order2,2,competitive,5.0,0,1777997748.6247463,1777997753.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,1,1777997753.6247463,1777997758.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,2,1777997758.6247463,1777997763.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,3,1777997763.6247463,1777997768.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,4,1777997768.6247463,1777997773.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,5,1777997773.6247463,1777997778.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,6,1777997778.6247463,1777997783.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,7,1777997783.6247463,1777997788.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,8,1777997788.6247463,1777997793.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,9,1777997793.6247463,1777997798.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,10,1777997798.6247463,1777997803.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,11,1777997803.6247463,1777997808.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,12,1777997808.6247463,1777997813.5847464,BT00,0
dyad_002,20260505_191548_order2,2,competitive,5.0,13,1777997813.6247463,1777997818.5847464,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,0,1777997879.5782542,1777997884.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,1,1777997884.5782542,1777997889.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,2,1777997889.5782542,1777997894.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,3,1777997894.5782542,1777997899.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,4,1777997899.5782542,1777997904.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,5,1777997904.5782542,1777997909.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,6,1777997909.5782542,1777997914.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,7,1777997914.5782542,1777997919.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,8,1777997919.5782542,1777997924.5382543,BT01,1
dyad_002,20260505_191759_order3,3,competitive,5.0,9,1777997924.5782542,1777997929.5382543,BT01,1
dyad_002,20260505_191759_order3,3,competitive,5.0,10,1777997929.5782542,1777997934.5382543,BT00,0
dyad_002,20260505_191759_order3,3,competitive,5.0,11,1777997934.5782542,1777997939.5382543,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,0,1777998416.204343,1777998421.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,1,1777998421.204343,1777998426.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,2,1777998426.204343,1777998431.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,3,1777998431.204343,1777998436.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,4,1777998436.204343,1777998441.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,5,1777998441.204343,1777998446.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,6,1777998446.204343,1777998451.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,7,1777998451.204343,1777998456.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,8,1777998456.204343,1777998461.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,9,1777998461.204343,1777998466.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,10,1777998466.204343,1777998471.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,11,1777998471.204343,1777998476.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,12,1777998476.204343,1777998481.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,13,1777998481.204343,1777998486.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,14,1777998486.204343,1777998491.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,15,1777998491.204343,1777998496.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,16,1777998496.204343,1777998501.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,17,1777998501.204343,1777998506.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,18,1777998506.204343,1777998511.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,19,1777998511.204343,1777998516.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,20,1777998516.204343,1777998521.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,21,1777998521.204343,1777998526.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,22,1777998526.204343,1777998531.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,23,1777998531.204343,1777998536.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,24,1777998536.204343,1777998541.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,25,1777998541.204343,1777998546.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,26,1777998546.204343,1777998551.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,27,1777998551.204343,1777998556.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,28,1777998556.204343,1777998561.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,29,1777998561.204343,1777998566.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,30,1777998566.204343,1777998571.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,31,1777998571.204343,1777998576.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,32,1777998576.204343,1777998581.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,33,1777998581.204343,1777998586.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,34,1777998586.204343,1777998591.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,35,1777998591.204343,1777998596.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,36,1777998596.204343,1777998601.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,37,1777998601.204343,1777998606.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,38,1777998606.204343,1777998611.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,39,1777998611.204343,1777998616.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,40,1777998616.204343,1777998621.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,41,1777998621.204343,1777998626.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,42,1777998626.204343,1777998631.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,43,1777998631.204343,1777998636.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,44,1777998636.204343,1777998641.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,45,1777998641.204343,1777998646.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,46,1777998646.204343,1777998651.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,47,1777998651.204343,1777998656.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,48,1777998656.204343,1777998661.164343,BT00,0
dyad_002,20260505_192656_order4,4,competitive,5.0,49,1777998661.204343,1777998666.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,50,1777998666.204343,1777998671.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,51,1777998671.204343,1777998676.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,52,1777998676.204343,1777998681.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,53,1777998681.204343,1777998686.164343,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,54,1777998686.204343,1777998691.164343,BT00,0
dyad_003,20260507_134304_order1,1,baseline,5.0,0,1778150584.5679114,1778150589.5279114,BT00,0
dyad_003,20260507_134304_order1,1,baseline,5.0,1,1778150589.5679114,1778150594.5279114,BT00,0
dyad_003,20260507_134304_order1,1,baseline,5.0,2,1778150594.5679114,1778150599.5279114,BT01,1
dyad_003,20260507_134304_order1,1,baseline,5.0,3,1778150599.5679114,1778150604.5279114,BT00,0
