window_size_s,pair_id,session_id,order,condition_label,behavior_token,count,frequency
5.0,dyad_005,20260507_152058_order3,3,competitive,BT01,4,0.23529411764705882
5.0,dyad_005,20260507_152317_order4,4,competitive,BT00,20,0.8333333333333334
5.0,dyad_005,20260507_152317_order4,4,competitive,BT01,4,0.16666666666666666
5.0,dyad_006,20260507_154437_order1,1,baseline,BT00,12,1.0
5.0,dyad_006,20260507_154803_order2,2,competitive,BT00,57,0.9827586206896551
5.0,dyad_006,20260507_154803_order2,2,competitive,BT01,1,0.017241379310344827
5.0,dyad_006,20260507_155406_order3,3,competitive,BT00,15,1.0
5.0,dyad_006,20260507_155542_order4,4,competitive,BT00,6,1.0
5.0,dyad_007,20260510_112436_order1,1,baseline,BT00,15,1.0
5.0,dyad_007,20260510_112937_order2,2,competitive,BT00,40,0.975609756097561
5.0,dyad_007,20260510_112937_order2,2,competitive,BT01,1,0.024390243902439025
5.0,dyad_007,20260510_113403_order3,3,competitive,BT00,25,0.9615384615384616
5.0,dyad_007,20260510_113403_order3,3,competitive,BT01,1,0.038461538461538464
5.0,dyad_007,20260510_113658_order4,4,competitive,BT00,133,0.9568345323741008
5.0,dyad_007,20260510_113658_order4,4,competitive,BT01,6,0.04316546762589928
5.0,dyad_008,20260510_121708_order1,1,baseline,BT00,3,0.21428571428571427
5.0,dyad_008,20260510_121708_order1,1,baseline,BT01,11,0.7857142857142857
5.0,dyad_008,20260510_122126_order2,2,competitive,BT00,29,0.7435897435897436
5.0,dyad_008,20260510_122126_order2,2,competitive,BT01,10,0.2564102564102564
5.0,dyad_008,20260510_122534_order3,3,competitive,BT00,24,0.75
5.0,dyad_008,20260510_122534_order3,3,competitive,BT01,8,0.25
5.0,dyad_008,20260510_122925_order4,4,competitive,BT00,57,0.8507462686567164
5.0,dyad_008,20260510_122925_order4,4,competitive,BT01,10,0.14925373134328357
5.0,dyad_009,20260510_140907_order1,1,baseline,BT00,41,0.37962962962962965
5.0,dyad_009,20260510_140907_order1,1,baseline,BT01,67,0.6203703703703703
5.0,dyad_009,20260510_141947_order2,2,competitive,BT00,11,0.5
5.0,dyad_009,20260510_141947_order2,2,competitive,BT01,11,0.5
5.0,dyad_009,20260510_142206_order3,3,competitive,BT00,3,0.21428571428571427
5.0,dyad_009,20260510_142206_order3,3,competitive,BT01,11,0.7857142857142857
5.0,dyad_009,20260510_142353_order4,4,competitive,BT00,4,0.3076923076923077
5.0,dyad_009,20260510_142353_order4,4,competitive,BT01,9,0.6923076923076923
5.0,dyad_010,20260510_144735_order1,1,baseline,BT00,10,0.6666666666666666
5.0,dyad_010,20260510_144735_order1,1,baseline,BT01,5,0.3333333333333333
5.0,dyad_010,20260510_145002_order2,2,competitive,BT00,10,0.5882352941176471
5.0,dyad_010,20260510_145002_order2,2,competitive,BT01,7,0.4117647058823529
5.0,dyad_010,20260510_145207_order3,3,competitive,BT00,13,0.7222222222222222
5.0,dyad_010,20260510_145207_order3,3,competitive,BT01,5,0.2777777777777778
5.0,dyad_010,20260510_145409_order4,4,competitive,BT00,29,0.8285714285714286
5.0,dyad_010,20260510_145409_order4,4,competitive,BT01,6,0.17142857142857143
5.0,dyad_011,20260510_154339_order1,1,baseline,BT00,24,0.631578947368421
5.0,dyad_011,20260510_154339_order1,1,baseline,BT01,14,0.3684210526315789
5.0,dyad_011,20260510_154923_order2,2,competitive,BT00,19,0.95
5.0,dyad_011,20260510_154923_order2,2,competitive,BT01,1,0.05
5.0,dyad_011,20260510_155222_order3,3,competitive,BT00,23,0.9583333333333334
5.0,dyad_011,20260510_155222_order3,3,competitive,BT01,1,0.041666666666666664
5.0,dyad_011,20260510_155501_order4,4,competitive,BT00,13,0.9285714285714286
5.0,dyad_011,20260510_155501_order4,4,competitive,BT01,1,0.07142857142857142
