session_label,dyad_id,order,actor_slot,responder_slot,actor_start_window,actor_end_window,actor_word,actor_duration_windows,immediate_other_word,immediate_other_is_wait,immediate_lag_windows,found_active_response,active_response_word,active_response_lag_windows,active_response_duration_windows,actor_event_mean_motion_energy_mean,actor_event_mean_motion_energy_max,actor_event_mean_motion_active_ratio,actor_event_mean_motion_burst_count,actor_event_mean_left_wrist_speed_mean,actor_event_mean_right_wrist_speed_mean,actor_event_mean_dominant_hand_speed_mean,actor_event_mean_left_hand_to_other_head_mean,actor_event_mean_right_hand_to_other_head_mean,actor_event_mean_closest_hand_to_other_head_mean,actor_event_mean_closest_hand_to_other_head_min,actor_event_mean_left_hand_reach_delta,actor_event_mean_right_hand_reach_delta,actor_event_mean_closest_hand_reach_delta,actor_event_mean_partner_gaze_ratio,actor_event_mean_task_gaze_ratio,actor_event_mean_gaze_switch_rate,actor_event_mean_root_distance_mean,actor_event_mean_partner_active_ratio,prev1_actor_word_global,prev1_immediate_other_word_global,prev1_response_word_global,prev2_actor_word_global,prev2_immediate_other_word_global,prev2_response_word_global,prev3_actor_word_global,prev3_immediate_other_word_global,prev3_response_word_global
20260504_183351_order1,dyad_001,1,person_A,person_B,68,68,IW08,1,IW10,False,3,True,IW10,3.0,2.0,0.23213666718487994,0.41670400044273803,0.37037037037037035,6.0,0.747680596251143,,0.747680596251143,0.6362779288515789,,0.6362779288515789,0.5359938158636299,-0.21744317330265395,,-0.21744317330265395,0.1111111111111111,0.2222222222222222,1.0384595102203076,0.8508280082590944,0.0,IW07,IW08,IW08,IW04,IW08,IW08,IW02,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,71,72,IW10,2,IW01,True,4,False,,,,0.7024291781532017,1.7617939575687733,0.8518518518518519,2.0,0.960873286888721,0.6032127413980374,0.7782511930023119,0.5533302772271866,0.3744110572025139,0.3731231650163578,0.2718573412214268,,-0.13616894467823,-0.13616894467823,0.9074074074074074,0.35185185185185186,1.0384595102203076,0.775095551762785,0.42592592592592593,IW08,IW10,IW10,IW07,IW08,IW08,IW04,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,81,81,IW07,1,IW01,True,12,False,,,,0.45137900738541703,1.080707158619992,0.4444444444444444,4.0,0.9580238899177062,0.527546336841941,0.7881893302920399,0.5208099234785832,0.44757433779705563,0.4220523758783095,0.3401096268185825,,-0.06189397263083102,-0.06189397263083102,1.0,1.0,0.0,0.7472123782448407,0.48148148148148145,IW10,IW01,START,IW08,IW10,IW10,IW07,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,82,82,IW05,1,IW01,True,11,False,,,,0.452665808671669,1.080707158619992,0.5185185185185185,4.0,0.5879104156073948,0.579571119843407,0.7629218244264289,0.6197268139364589,0.4121635851555763,0.391459705385871,0.3401096268185825,0.3536212105918082,-0.06729345955748817,0.047243205449689074,1.0,1.0,0.0,0.7092240476902413,0.3333333333333333,IW07,IW01,START,IW10,IW01,START,IW08,IW10,IW10
20260504_183351_order1,dyad_001,1,person_B,person_A,83,83,IW06,1,IW01,True,10,False,,,,0.35557302062440926,0.7553488617170739,0.4074074074074074,2.0,0.470237965421732,0.4503443395420803,0.6254232956923247,0.5877593189924555,0.4134374320845212,0.40961637429517306,0.3704753759571512,-0.16598251429824618,0.0648163448394572,0.0648163448394572,1.0,0.7407407407407407,0.0,0.7467378566058867,0.48148148148148145,IW05,IW01,START,IW07,IW01,START,IW10,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,87,88,IW06,2,IW01,True,6,False,,,,0.8714677185815352,2.7744993611667708,0.7962962962962963,3.0,0.2746729688376143,0.19930101822546228,0.3346924737592873,0.650038525778929,0.5356393606587184,0.5345480733711571,0.4542607019728746,0.1431182926380308,0.09555712325498791,0.12040154603283573,1.0,0.24074074074074073,0.0,0.7828378492885619,0.4444444444444444,IW06,IW01,START,IW05,IW01,START,IW07,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,94,94,IW04,1,IW08,False,6,True,IW08,6.0,1.0,0.4548036806832973,0.8085287035749482,0.6666666666666666,2.0,0.3808859657627977,0.25844879747933325,0.4264300630210159,0.5873931491119768,0.5089293950985402,0.5041729160326786,0.42711220778925685,-0.2359039605684673,-0.09805588499863405,-0.10265922127488136,0.8518518518518519,0.9259259259259259,0.0,0.6930041706004081,0.6296296296296297,IW06,IW01,START,IW06,IW01,START,IW05,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,95,95,IW07,1,IW08,False,5,True,IW08,5.0,1.0,0.34284729377609535,0.6679199252488319,0.2962962962962963,2.0,0.3341674279169101,0.2312369996485134,0.3718654767429276,0.4581189621766745,0.46090925903964497,0.4504365755523111,0.42711220778925685,-0.18498888230541105,-0.057426413367466234,-0.07742673406305994,0.8518518518518519,0.9259259259259259,0.0,0.7577148996019739,0.7407407407407407,IW04,IW08,IW08,IW06,IW01,START,IW06,IW01,START
20260504_183351_order1,dyad_001,1,person_A,person_B,100,100,IW08,1,IW05,False,2,True,IW05,2.0,1.0,0.39283798133359416,0.6329148784097473,0.9629629629629629,2.0,0.6880060215442408,,0.6880060215442408,0.5314655345769027,,0.5314655345769027,0.4181605503240116,-0.20912854235183181,,-0.20912854235183181,0.2962962962962963,0.7777777777777778,2.076919020440615,0.7513212418162674,0.5185185185185185,IW07,IW08,IW08,IW04,IW08,IW08,IW06,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,100,101,IW06,2,IW01,True,1,True,IW08,5.0,1.0,0.4617610508444471,1.9901478160144528,0.42592592592592593,2.5,0.5587205060000184,0.25963352268667916,0.5883625989360608,0.4861951784882915,0.5125391689964944,0.4582600450373052,0.3912437919862827,0.05224122545897247,0.1104887689544373,0.04048108347988455,0.8518518518518519,0.4074074074074074,0.0,0.7371194980714317,0.8333333333333333,IW08,IW05,IW05,IW07,IW08,IW08,IW04,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,102,102,IW05,1,IW11,True,1,True,IW08,3.0,1.0,0.316765946189154,0.6201555944292205,0.3333333333333333,2.0,0.3980046598353671,0.12301405161380245,0.4348932300433328,0.6388840355623148,0.5590163263556811,0.54440572614273,0.405167203581064,0.2933683364420507,-0.028155944302932112,0.12677464302178926,0.4444444444444444,1.0,0.0,0.710556692396271,0.3333333333333333,IW06,IW01,IW08,IW08,IW05,IW05,IW07,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,103,103,IW04,1,IW01,True,1,True,IW08,2.0,1.0,0.3287433258275507,0.6201555944292205,0.37037037037037035,2.0,0.8793392966933801,0.2390413094296686,0.9094778863523101,0.5609920252124106,0.5179361681213555,0.4744581474807262,0.25092922134123935,-0.3027447318605516,-0.10044746275556343,-0.19114039279406703,0.2962962962962963,0.5925925925925926,1.0384595102203076,0.7314575267172905,0.4074074074074074,IW05,IW11,IW08,IW06,IW01,IW08,IW08,IW05,IW05
20260504_183351_order1,dyad_001,1,person_A,person_B,105,105,IW08,1,IW06,False,1,True,IW06,1.0,2.0,0.2979503445710153,0.5967005616815099,0.5555555555555556,1.0,0.45632858950053246,,0.45632858950053246,0.5075109881384248,,0.5075109881384248,0.35057091248197353,-0.20568296545281334,,-0.20568296545281334,0.7407407407407407,0.9629629629629629,2.076919020440615,0.8256520012616141,0.2962962962962963,IW04,IW01,IW08,IW05,IW11,IW08,IW06,IW01,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,106,107,IW06,2,IW05,False,1,True,IW05,1.0,1.0,0.26478996713832353,0.5445733086195383,0.25925925925925924,2.0,0.44366046909379003,0.2278946857932041,0.5235589597348982,0.6215670122941784,0.5473677092752669,0.5353572356199943,0.4338615370357069,0.08956427186745164,0.0934113540651802,0.0934113540651802,0.05555555555555555,1.0,0.0,0.8155654398902582,0.537037037037037,IW08,IW06,IW06,IW04,IW01,IW08,IW05,IW11,IW08
20260504_183351_order1,dyad_001,1,person_A,person_B,107,107,IW05,1,IW01,True,1,True,IW10,3.0,1.0,0.26022749291423763,0.49341295660795775,0.37037037037037035,2.0,0.3788543035863379,,0.3788543035863379,0.5279236980714008,,0.5279236980714008,0.3438883934422691,0.281959813845787,,0.281959813845787,0.07407407407407407,0.0,1.0384595102203076,0.8021932770990517,0.1111111111111111,IW06,IW05,IW05,IW08,IW06,IW06,IW04,IW01,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,110,110,IW10,1,IW01,True,1,True,IW08,2.0,1.0,1.1301058464958875,2.9007049609432687,0.8148148148148148,3.0,0.9550227228866931,0.4386337733268713,1.0140955062105004,0.6746147817336937,0.582247243266498,0.5704506139631874,0.4510722378277068,-0.04452738964839076,-0.15030223241637442,-0.15030223241637442,0.8518518518518519,0.9629629629629629,1.0384595102203076,0.7716265993726805,0.3333333333333333,IW05,IW01,IW10,IW06,IW05,IW05,IW08,IW06,IW06
20260504_183351_order1,dyad_001,1,person_B,person_A,111,111,IW06,1,IW08,False,1,True,IW08,1.0,1.0,0.9059433640029074,2.8152620316006796,0.9259259259259259,2.0,1.2791566076761833,0.8538415474500144,1.4827395803446086,0.6468730801375254,0.5333980452509614,0.5216014159476509,0.388229116111123,-0.09166044675023022,0.07479308130146611,0.07479308130146611,0.3333333333333333,0.8888888888888888,2.076919020440615,0.7499429544205649,0.2962962962962963,IW10,IW01,IW08,IW05,IW01,IW10,IW06,IW05,IW05
20260504_183351_order1,dyad_001,1,person_A,person_B,112,112,IW08,1,IW01,True,1,True,IW08,7.0,1.0,0.194736234986761,0.3591337462953351,0.25925925925925924,2.0,0.13787718876563712,0.49725358599380637,0.4916117010342221,0.46107525363651036,0.4755428200663624,0.46016705851522804,0.38292353682775504,-0.3830144939140447,,-0.3830144939140447,0.6296296296296297,1.0,0.0,0.7238006292155391,0.7407407407407407,IW06,IW08,IW08,IW10,IW01,IW08,IW05,IW01,IW10
20260504_183351_order1,dyad_001,1,person_B,person_A,112,112,IW02,1,IW01,True,1,True,IW02,10.0,1.0,0.4940749705167416,0.8599504797794614,0.7407407407407407,3.0,0.6984674709692229,0.5520288308327838,0.8725246737844877,0.7039592384174126,0.5902016556359129,0.5902016556359129,0.388229116111123,0.14911524767396978,0.24846224898561664,0.24846224898561664,0.1111111111111111,0.9259259259259259,1.0384595102203076,0.7238006292155391,0.25925925925925924,IW08,IW01,IW08,IW06,IW08,IW08,IW10,IW01,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,119,119,IW08,1,IW02,False,3,True,IW02,3.0,1.0,0.27072129990073224,0.5979996761754223,0.25925925925925924,1.0,0.890463929855698,0.0591378909368398,0.890463929855698,0.438193155589392,0.5314246648096277,0.4159726235914356,0.36051163010513776,-0.396109324564364,0.019172506354189767,-0.1492338185672203,0.14814814814814814,0.6666666666666666,6.230757061321845,0.6382850215352968,0.2962962962962963,IW02,IW01,IW02,IW08,IW01,IW08,IW06,IW08,IW08
20260504_183351_order1,dyad_001,1,person_A,person_B,122,122,IW02,1,IW01,True,1,False,,,,0.21039934653421197,0.5983237288679639,0.14814814814814814,2.0,0.06425893768847607,0.4611177867642846,0.16121608219831926,0.5317690588889699,0.6370467891930239,0.5317690588889699,0.510055602853116,0.001939792491583825,0.21260933071558907,0.001939792491583825,0.8518518518518519,0.7777777777777778,2.076919020440615,0.7168043642552024,0.37037037037037035,IW08,IW02,IW02,IW02,IW01,IW02,IW08,IW01,IW08
