contrast,feature,n_dyads,mean_diff,median_diff,effect_size_dz,ci95_low,ci95_high,p_value,q_value,confidence,interpretation_note
competitive_order2_4_linear_slope,pair_motion_energy_max_mean,11,0.022065518375033955,0.0349180562311142,0.4504458588057649,-0.00956904359083185,0.049579108592381134,0.1474609375,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order4_vs_order2,pair_motion_energy_mean_mean,11,0.026538720047306286,0.03380859266093922,0.6341179469236314,0.0019950883476852915,0.05188475213631923,0.123046875,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,pair_motion_energy_mean_mean,11,0.013269360023653188,0.016904296330469665,0.6341179469236334,0.0009975441738426863,0.02594237606815967,0.123046875,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,partner_gaze_ratio_both_mean,11,0.023411299539270233,0.01896080497087556,0.41179133692781467,-0.01191588784224564,0.05743615435609617,0.2783203125,0.6422776442307693,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,partner_gaze_ratio_both_mean,11,-0.027956782189739224,-0.028712871287128714,-0.41709734221108347,-0.07247884235027051,0.010294110566868202,0.2060546875,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,partner_gaze_ratio_both_mean,11,-0.013978391094869601,-0.014356435643564362,-0.4170973422110831,-0.036239421175135254,0.005147055283434113,0.2060546875,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,partner_gaze_ratio_mean_mean,11,0.03984746017275219,0.026002583817931024,0.7664573576602415,0.007397958759138809,0.07045829793151306,0.0244140625,0.6422776442307693,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,partner_gaze_ratio_mean_mean,11,-0.023146181654662038,-0.031047062539968695,-0.47299322827442464,-0.05247004934230952,0.006562940033687287,0.240234375,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,partner_gaze_ratio_mean_mean,11,-0.011573090827330964,-0.01552353126998424,-0.47299322827442236,-0.0262350246711547,0.00328147001684372,0.240234375,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order4_vs_order2,root_distance_mean_mean,11,-0.025161706421098353,-0.017820025395269612,-0.6369897926844102,-0.04867282065860373,-0.003027567470284967,0.0830078125,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,root_distance_mean_mean,11,-0.012580853210549026,-0.00891001269763466,-0.6369897926844029,-0.02433641032930166,-0.0015137837351423197,0.0830078125,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
